PV1MATH,CNTSCHID,CNTSTUID,PAREDINT,HOMEPOS,HISEI,GRADE,ST004D01T,IMMIG,MATHEFF,ANXMAT,REPEAT,ST062Q01TA,DISCLIM,STUBEHA,STAFFSHORT,EDUSHORT,PROATCE,TEACHSUP,SCHLTYPE,ST059Q01TA,SC175Q01JA,ESCS
527.511,75600108.0,75600054.0,12.0,-1.0649,27.81,0.0,Male,Second-Generation student,0.4217,-1.6654,Never repeated,Never,0.1614,1.0082,,,0.0909,0.4357,Public,5.0,45.0,-1.3108
477.437,75600006.0,75600055.0,,0.519,70.34,0.0,Female,Second-Generation student,0.272,0.6647,Repeated at lease once,Never,1.8514,-0.0956,-0.5635,-0.6884,0.9155,0.1475,Public,4.0,50.0,0.8992
579.371,75600264.0,75600056.0,16.0,0.1504,58.77,0.0,Male,Native student,-0.6495,-0.1172,Never repeated,Never,0.6318,0.1715,0.4472,-1.4212,0.8909,-2.1346,Public,5.0,45.0,0.4655
530.83,75600091.0,75600057.0,16.0,0.727,73.38,1.0,Male,Second-Generation student,0.4262,-0.7107,Never repeated,Never,0.7711,0.4781,-2.1066,-1.4212,1.0,-0.3322,Public,4.0,45.0,0.9856
535.937,75600226.0,75600058.0,9.0,0.7216,37.83,1.0,Female,Second-Generation student,-0.051,1.2918,Never repeated,Never,-0.313,-0.1348,-2.1066,-0.6884,1.0,0.4357,Public,4.0,45.0,-0.8726
473.99,75600165.0,75600059.0,16.0,1.7317,72.3,0.0,Female,,-1.2241,1.9159,Never repeated,Never,1.8286,0.2408,-2.1066,-1.4212,1.0,0.4357,Public,4.0,45.0,1.3907
325.631,75600209.0,75600060.0,14.5,0.1361,31.08,0.0,Female,Second-Generation student,-0.1866,1.0112,Never repeated,Never,-0.4763,-3.3785,-0.5393,-1.4212,0.9677,-0.5635,Public,4.0,45.0,-0.3173
627.502,75600166.0,75600061.0,16.0,0.8774,80.46,1.0,Female,Second-Generation student,-0.5362,0.133,Never repeated,Never,1.7598,1.0305,-0.1548,-0.6924,0.6369,-0.8059,Public,3.0,45.0,1.1829
605.244,75600092.0,75600062.0,14.5,0.6887,63.31,3.0,Female,Native student,-0.6012,2.5026,Never repeated,Never,0.1614,-0.3925,0.9451,-0.4447,1.0,0.1475,Public,4.0,45.0,0.5253
487.829,75600057.0,75600063.0,14.5,0.2784,58.77,0.0,Female,Native student,,,Never repeated,Never,-0.33,,,,,,Public,5.0,,0.2658
647.682,75600095.0,75600064.0,14.5,0.6141,43.76,1.0,Male,First-Generation student,2.1316,-2.249,Never repeated,Never,0.7029,-0.0384,-1.1673,-1.4212,,1.5558,Public,4.0,45.0,0.1246
348.102,75600024.0,75600065.0,3.0,-1.6638,25.95,0.0,Male,Native student,,,Repeated at lease once,Never,,,,,,,Public,,,-3.1227
452.075,75600105.0,75600066.0,16.0,0.8266,17.0,1.0,Male,Native student,-0.413,0.6566,Never repeated,Never,-1.008,-1.1401,-0.9311,-0.6884,0.9167,-1.0693,Public,4.0,40.0,-0.0368
567.014,75600243.0,75600067.0,16.0,0.7859,75.5,0.0,Female,Native student,-0.0937,-0.2758,Never repeated,Never,0.3552,-0.335,-0.5635,-0.6483,1.0,-2.1346,Public,4.0,45.0,1.0505
546.907,75600143.0,75600069.0,16.0,0.1738,56.0,2.0,Female,Native student,-0.9647,0.602,Never repeated,Never,1.0945,-0.6744,-1.15,-0.3123,1.0,-1.0693,Public,4.0,45.0,0.4231
434.629,75600212.0,75600070.0,16.0,1.9386,62.45,0.0,Male,Native student,,-2.382,Never repeated,Never,-0.5562,0.6935,,,,-0.1002,Public,5.0,45.0,1.2923
388.197,75600178.0,75600072.0,14.5,0.9169,75.54,-1.0,Female,Native student,,0.8251,,Never,0.2002,-2.0719,-2.1066,-1.4212,0.8889,-0.6719,Public,4.0,50.0,0.8529
520.652,75600160.0,75600073.0,12.0,0.0791,28.48,0.0,Male,Native student,-1.8643,-0.0423,Never repeated,Never,-1.0423,0.1795,0.2199,-1.4212,1.0,-1.7015,Public,4.0,45.0,-0.8136
639.67,75600023.0,75600076.0,16.0,-0.4784,36.35,1.0,Male,Native student,1.297,-0.2045,Never repeated,Never,-0.8254,-1.0431,-2.1066,1.0245,0.9438,-0.5635,Public,5.0,45.0,-0.2242
555.461,75600055.0,75600077.0,14.5,1.8243,67.94,1.0,Female,Native student,-0.2055,-0.1172,Never repeated,One or two times,-0.84,-0.6823,-0.5393,-0.9432,,-1.3627,Public,4.0,45.0,1.0937
444.104,75600250.0,75600078.0,,-1.8322,,0.0,Male,First-Generation student,1.8643,,,,,0.1795,0.2975,0.6299,0.9261,,Public,,45.0,
506.448,75600218.0,75600079.0,16.0,-0.5197,26.64,1.0,Female,Second-Generation student,,,Never repeated,,-0.8854,2.3697,-0.5635,0.7889,1.0,-0.1002,Public,3.0,45.0,-0.425
371.885,75600262.0,75600080.0,16.0,1.0057,54.55,1.0,Male,Native student,0.0602,0.7774,Never repeated,Never,-0.7266,,,,,1.5558,Public,3.0,45.0,0.748
688.958,75600265.0,75600081.0,16.0,1.6614,62.39,0.0,Male,Native student,2.0432,-1.5486,Never repeated,Never,0.6387,-1.1906,-2.1066,-1.4212,1.0,0.8211,Public,5.0,45.0,1.1738
433.252,75600158.0,75600083.0,,0.38,,0.0,Male,,,,Never repeated,Never,,1.3046,-1.1673,-0.6884,0.0,,Public,6.0,45.0,
404.035,75600185.0,75600084.0,12.0,0.9137,71.39,-1.0,Female,First-Generation student,-0.6885,,Repeated at lease once,One or two times,-1.3637,0.0321,-0.5393,-0.2376,0.9137,-0.3322,Public,,45.0,0.3501
365.829,75600001.0,75600085.0,16.0,-1.1982,56.0,-1.0,Male,Second-Generation student,,,,,,,,,,,Public,,,-0.158
476.346,75600063.0,75600086.0,16.0,1.5594,48.13,1.0,Male,Native student,2.233,-0.0575,Never repeated,Five or more times,-0.1114,,,,,-0.1002,Public,3.0,,0.8614
438.199,75600098.0,75600087.0,16.0,0.6811,76.65,1.0,Male,Native student,-2.094,1.1287,Never repeated,,-1.8441,1.0633,-0.0747,-0.4447,1.0,-2.9095,Public,4.0,45.0,1.0278
598.05,75600013.0,75600088.0,16.0,1.3044,80.46,0.0,Female,Second-Generation student,,,Never repeated,Never,0.4768,0.6121,-0.2766,-0.9432,1.0,0.4357,Public,4.0,50.0,1.3638
396.935,75600081.0,75600089.0,14.5,-0.0286,24.98,0.0,Female,Second-Generation student,,,Never repeated,Never,,,,,,,Public,4.0,,-0.5022
516.328,75600020.0,75600090.0,16.0,0.7189,76.49,2.0,Male,Native student,0.0919,1.2595,Never repeated,Never,0.3847,0.2498,-1.1673,-0.9432,0.0132,-1.0693,Public,2.0,65.0,1.0408
594.008,75600105.0,75600091.0,12.0,0.5993,37.83,1.0,Male,Native student,0.9326,-1.2899,Never repeated,Never,1.0136,-1.1401,-0.9311,-0.6884,0.9167,-1.3627,Public,3.0,40.0,-0.4167
447.143,75600076.0,75600092.0,12.0,-0.88,26.64,0.0,Female,Native student,-0.5394,0.1967,Never repeated,Never,-0.801,0.2408,-2.1066,0.4292,1.0,-0.6719,Public,5.0,45.0,-1.2546
717.344,75600056.0,75600093.0,16.0,1.463,79.74,1.0,Female,Native student,0.2953,-0.7107,Never repeated,Never,0.4375,,,,0.9896,-0.1002,Public,6.0,40.0,1.4174
